Gene	Vogelstein	COSMIC_CGC	OncoKB	IntOGen
BG_03392	0	0	0	0
BG_03393	0	0	0	0
BG_03394	0	0	0	0
BG_03395	0	0	0	0
BG_03396	0	0	0	0
BG_03397	0	0	0	0
BG_03398	0	0	0	0
BG_03399	0	0	0	0
BG_03400	0	0	0	0
BG_03401	0	0	0	0
BG_03402	0	0	0	0
BG_03403	0	0	0	0
BG_03404	0	0	0	0
BG_03405	0	0	0	0
BG_03406	0	0	0	0
BG_03407	0	0	0	0
BG_03408	0	0	0	0
BG_03409	0	0	0	0
BG_03410	0	0	0	0
BG_03411	0	0	0	0
BG_03412	0	0	0	0
BG_03413	0	0	0	0
BG_03414	0	0	0	0
BG_03415	0	0	0	0
BG_03416	0	0	0	0
BG_03417	0	0	0	0
BG_03418	0	0	0	0
BG_03419	0	0	0	0
BG_03420	0	0	0	0
BG_03421	0	0	0	0
BG_03422	0	0	0	0
BG_03423	0	0	0	0
BG_03424	0	0	0	0
BG_03425	0	0	0	0
BG_03426	0	0	0	0
BG_03427	0	0	0	0
BG_03428	0	0	0	0
BG_03429	0	0	0	0
BG_03430	0	0	0	0
BG_03431	0	0	0	0
BG_03432	0	0	0	0
BG_03433	0	0	0	0
BG_03434	0	0	0	0
BG_03435	0	0	0	0
BG_03436	0	0	0	0
BG_03437	0	0	0	0
BG_03438	0	0	0	0
BG_03439	0	0	0	0
BG_03440	0	0	0	0
BG_03441	0	0	0	0
BG_03442	0	0	0	0
BG_03443	0	0	0	0
BG_03444	0	0	0	0
BG_03445	0	0	0	0
BG_03446	0	0	0	0
BG_03447	0	0	0	0
BG_03448	0	0	0	0
BG_03449	0	0	0	0
BG_03450	0	0	0	0
BG_03451	0	0	0	0
BG_03452	0	0	0	0
BG_03453	0	0	0	0
BG_03454	0	0	0	0
BG_03455	0	0	0	0
BG_03456	0	0	0	0
BG_03457	0	0	0	0
BG_03458	0	0	0	0
BG_03459	0	0	0	0
BG_03460	0	0	0	0
BG_03461	0	0	0	0
BG_03462	0	0	0	0
BG_03463	0	0	0	0
BG_03464	0	0	0	0
BG_03465	0	0	0	0
BG_03466	0	0	0	0
BG_03467	0	0	0	0
BG_03468	0	0	0	0
BG_03469	0	0	0	0
BG_03470	0	0	0	0
BG_03471	0	0	0	0
BG_03472	0	0	0	0
BG_03473	0	0	0	0
BG_03474	0	0	0	0
BG_03475	0	0	0	0
BG_03476	0	0	0	0
BG_03477	0	0	0	0
BG_03478	0	0	0	0
BG_03479	0	0	0	0
BG_03480	0	0	0	0
BG_03481	0	0	0	0
BG_03482	0	0	0	0
BG_03483	0	0	0	0
BG_03484	0	0	0	0
BG_03485	0	0	0	0
BG_03486	0	0	0	0
BG_03487	0	0	0	0
BG_03488	0	0	0	0
BG_03489	0	0	0	0
BG_03490	0	0	0	0
BG_03491	0	0	0	0
BG_03492	0	0	0	0
BG_03493	0	0	0	0
BG_03494	0	0	0	0
BG_03495	0	0	0	0
BG_03496	0	0	0	0
BG_03497	0	0	0	0
BG_03498	0	0	0	0
BG_03499	0	0	0	0
BG_03500	0	0	0	0
BG_03501	0	0	0	0
BG_03502	0	0	0	0
BG_03503	0	0	0	0
BG_03504	0	0	0	0
BG_03505	0	0	0	0
BG_03506	0	0	0	0
BG_03507	0	0	0	0
BG_03508	0	0	0	0
BG_03509	0	0	0	0
BG_03510	0	0	0	0
BG_03511	0	0	0	0
BG_03512	0	0	0	0
BG_03513	0	0	0	0
BG_03514	0	0	0	0
BG_03515	0	0	0	0
BG_03516	0	0	0	0
BG_03517	0	0	0	0
BG_03518	0	0	0	0
BG_03519	0	0	0	0
BG_03520	0	0	0	0
BG_03521	0	0	0	0
BG_03522	0	0	0	0
BG_03523	0	0	0	0
BG_03524	0	0	0	0
BG_03525	0	0	0	0
BG_03526	0	0	0	0
BG_03527	0	0	0	0
BG_03528	0	0	0	0
BG_03529	0	0	0	0
BG_03530	0	0	0	0
BG_03531	0	0	0	0
BG_03532	0	0	0	0
BG_03533	0	0	0	0
BG_03534	0	0	0	0
BG_03535	0	0	0	0
BG_03536	0	0	0	0
BG_03537	0	0	0	0
BG_03538	0	0	0	0
BG_03539	0	0	0	0
BG_03540	0	0	0	0
BG_03541	0	0	0	0
BG_03542	0	0	0	0
BG_03543	0	0	0	0
BG_03544	0	0	0	0
BG_03545	0	0	0	0
BG_03546	0	0	0	0
BG_03547	0	0	0	0
BG_03548	0	0	0	0
BG_03549	0	0	0	0
BG_03550	0	0	0	0
BG_03551	0	0	0	0
BG_03552	0	0	0	0
BG_03553	0	0	0	0
BG_03554	0	0	0	0
BG_03555	0	0	0	0
BG_03556	0	0	0	0
BG_03557	0	0	0	0
BG_03558	0	0	0	0
BG_03559	0	0	0	0
BG_03560	0	0	0	0
BG_03561	0	0	0	0
BG_03562	0	0	0	0
BG_03563	0	0	0	0
BG_03564	0	0	0	0
BG_03565	0	0	0	0
BG_03566	0	0	0	0
BG_03567	0	0	0	0
BG_03568	0	0	0	0
BG_03569	0	0	0	0
BG_03570	0	0	0	0
BG_03571	0	0	0	0
BG_03572	0	0	0	0
BG_03573	0	0	0	0
BG_03574	0	0	0	0
BG_03575	0	0	0	0
BG_03576	0	0	0	0
BG_03577	0	0	0	0
BG_03578	0	0	0	0
BG_03579	0	0	0	0
BG_03580	0	0	0	0
BG_03581	0	0	0	0
BG_03582	0	0	0	0
BG_03583	0	0	0	0
BG_03584	0	0	0	0
BG_03585	0	0	0	0
BG_03586	0	0	0	0
BG_03587	0	0	0	0
BG_03588	0	0	0	0
BG_03589	0	0	0	0
BG_03590	0	0	0	0
BG_03591	0	0	0	0
BG_03592	0	0	0	0
BG_03593	0	0	0	0
BG_03594	0	0	0	0
BG_03595	0	0	0	0
BG_03596	0	0	0	0
BG_03597	0	0	0	0
BG_03598	0	0	0	0
BG_03599	0	0	0	0
BG_03600	0	0	0	0
BG_03601	0	0	0	0
BG_03602	0	0	0	0
BG_03603	0	0	0	0
BG_03604	0	0	0	0
BG_03605	0	0	0	0
BG_03606	0	0	0	0
BG_03607	0	0	0	0
BG_03608	0	0	0	0
BG_03609	0	0	0	0
BG_03610	0	0	0	0
BG_03611	0	0	0	0
BG_03612	0	0	0	0
BG_03613	0	0	0	0
BG_03614	0	0	0	0
BG_03615	0	0	0	0
BG_03616	0	0	0	0
BG_03617	0	0	0	0
BG_03618	0	0	0	0
BG_03619	0	0	0	0
BG_03620	0	0	0	0
BG_03621	0	0	0	0
BG_03622	0	0	0	0
BG_03623	0	0	0	0
BG_03624	0	0	0	0
BG_03625	0	0	0	0
BG_03626	0	0	0	0
BG_03627	0	0	0	0
BG_03628	0	0	0	0
BG_03629	0	0	0	0
BG_03630	0	0	0	0
BG_03631	0	0	0	0
BG_03632	0	0	0	0
BG_03633	0	0	0	0
BG_03634	0	0	0	0
BG_03635	0	0	0	0
BG_03636	0	0	0	0
BG_03637	0	0	0	0
BG_03638	0	0	0	0
BG_03639	0	0	0	0
BG_03640	0	0	0	0
BG_03641	0	0	0	0
BG_03642	0	0	0	0
BG_03643	0	0	0	0
BG_03644	0	0	0	0
BG_03645	0	0	0	0
BG_03646	0	0	0	0
BG_03647	0	0	0	0
BG_03648	0	0	0	0
BG_03649	0	0	0	0
BG_03650	0	0	0	0
BG_03651	0	0	0	0
BG_03652	0	0	0	0
BG_03653	0	0	0	0
BG_03654	0	0	0	0
BG_03655	0	0	0	0
BG_03656	0	0	0	0
BG_03657	0	0	0	0
BG_03658	0	0	0	0
BG_03659	0	0	0	0
BG_03660	0	0	0	0
BG_03661	0	0	0	0
BG_03662	0	0	0	0
BG_03663	0	0	0	0
BG_03664	0	0	0	0
BG_03665	0	0	0	0
BG_03666	0	0	0	0
BG_03667	0	0	0	0
BG_03668	0	0	0	0
BG_03669	0	0	0	0
BG_03670	0	0	0	0
BG_03671	0	0	0	0
BG_03672	0	0	0	0
BG_03673	0	0	0	0
BG_03674	0	0	0	0
BG_03675	0	0	0	0
BG_03676	0	0	0	0
BG_03677	0	0	0	0
BG_03678	0	0	0	0
BG_03679	0	0	0	0
BG_03680	0	0	0	0
BG_03681	0	0	0	0
BG_03682	0	0	0	0
BG_03683	0	0	0	0
BG_03684	0	0	0	0
BG_03685	0	0	0	0
BG_03686	0	0	0	0
BG_03687	0	0	0	0
BG_03688	0	0	0	0
BG_03689	0	0	0	0
BG_03690	0	0	0	0
BG_03691	0	0	0	0
BG_03692	0	0	0	0
BG_03693	0	0	0	0
BG_03694	0	0	0	0
BG_03695	0	0	0	0
BG_03696	0	0	0	0
BG_03697	0	0	0	0
BG_03698	0	0	0	0
BG_03699	0	0	0	0
BG_03700	0	0	0	0
BG_03701	0	0	0	0
BG_03702	0	0	0	0
BG_03703	0	0	0	0
BG_03704	0	0	0	0
BG_03705	0	0	0	0
BG_03706	0	0	0	0
BG_03707	0	0	0	0
BG_03708	0	0	0	0
BG_03709	0	0	0	0
BG_03710	0	0	0	0
BG_03711	0	0	0	0
BG_03712	0	0	0	0
BG_03713	0	0	0	0
BG_03714	0	0	0	0
BG_03715	0	0	0	0
BG_03716	0	0	0	0
BG_03717	0	0	0	0
BG_03718	0	0	0	0
BG_03719	0	0	0	0
BG_03720	0	0	0	0
BG_03721	0	0	0	0
BG_03722	0	0	0	0
BG_03723	0	0	0	0
BG_03724	0	0	0	0
BG_03725	0	0	0	0
BG_03726	0	0	0	0
BG_03727	0	0	0	0
BG_03728	0	0	0	0
BG_03729	0	0	0	0
BG_03730	0	0	0	0
BG_03731	0	0	0	0
BG_03732	0	0	0	0
BG_03733	0	0	0	0
BG_03734	0	0	0	0
BG_03735	0	0	0	0
BG_03736	0	0	0	0
BG_03737	0	0	0	0
BG_03738	0	0	0	0
BG_03739	0	0	0	0
BG_03740	0	0	0	0
BG_03741	0	0	0	0
BG_03742	0	0	0	0
BG_03743	0	0	0	0
BG_03744	0	0	0	0
BG_03745	0	0	0	0
BG_03746	0	0	0	0
BG_03747	0	0	0	0
BG_03748	0	0	0	0
BG_03749	0	0	0	0
BG_03750	0	0	0	0
BG_03751	0	0	0	0
BG_03752	0	0	0	0
BG_03753	0	0	0	0
BG_03754	0	0	0	0
BG_03755	0	0	0	0
BG_03756	0	0	0	0
BG_03757	0	0	0	0
BG_03758	0	0	0	0
BG_03759	0	0	0	0
BG_03760	0	0	0	0
BG_03761	0	0	0	0
BG_03762	0	0	0	0
BG_03763	0	0	0	0
BG_03764	0	0	0	0
BG_03765	0	0	0	0
BG_03766	0	0	0	0
BG_03767	0	0	0	0
BG_03768	0	0	0	0
BG_03769	0	0	0	0
BG_03770	0	0	0	0
BG_03771	0	0	0	0
BG_03772	0	0	0	0
BG_03773	0	0	0	0
BG_03774	0	0	0	0
BG_03775	0	0	0	0
BG_03776	0	0	0	0
BG_03777	0	0	0	0
BG_03778	0	0	0	0
BG_03779	0	0	0	0
BG_03780	0	0	0	0
BG_03781	0	0	0	0
BG_03782	0	0	0	0
BG_03783	0	0	0	0
BG_03784	0	0	0	0
BG_03785	0	0	0	0
BG_03786	0	0	0	0
BG_03787	0	0	0	0
BG_03788	0	0	0	0
BG_03789	0	0	0	0
BG_03790	0	0	0	0
BG_03791	0	0	0	0
BG_03792	0	0	0	0
BG_03793	0	0	0	0
BG_03794	0	0	0	0
BG_03795	0	0	0	0
BG_03796	0	0	0	0
BG_03797	0	0	0	0
BG_03798	0	0	0	0
BG_03799	0	0	0	0
BG_03800	0	0	0	0
BG_03801	0	0	0	0
BG_03802	0	0	0	0
BG_03803	0	0	0	0
BG_03804	0	0	0	0
BG_03805	0	0	0	0
BG_03806	0	0	0	0
BG_03807	0	0	0	0
BG_03808	0	0	0	0
BG_03809	0	0	0	0
BG_03810	0	0	0	0
BG_03811	0	0	0	0
BG_03812	0	0	0	0
BG_03813	0	0	0	0
BG_03814	0	0	0	0
BG_03815	0	0	0	0
BG_03816	0	0	0	0
BG_03817	0	0	0	0
BG_03818	0	0	0	0
BG_03819	0	0	0	0
BG_03820	0	0	0	0
BG_03821	0	0	0	0
BG_03822	0	0	0	0
BG_03823	0	0	0	0
BG_03824	0	0	0	0
BG_03825	0	0	0	0
BG_03826	0	0	0	0
BG_03827	0	0	0	0
BG_03828	0	0	0	0
BG_03829	0	0	0	0
BG_03830	0	0	0	0
BG_03831	0	0	0	0
BG_03832	0	0	0	0
BG_03833	0	0	0	0
BG_03834	0	0	0	0
BG_03835	0	0	0	0
BG_03836	0	0	0	0
BG_03837	0	0	0	0
BG_03838	0	0	0	0
BG_03839	0	0	0	0
BG_03840	0	0	0	0
BG_03841	0	0	0	0
BG_03842	0	0	0	0
BG_03843	0	0	0	0
BG_03844	0	0	0	0
BG_03845	0	0	0	0
BG_03846	0	0	0	0
BG_03847	0	0	0	0
BG_03848	0	0	0	0
BG_03849	0	0	0	0
BG_03850	0	0	0	0
BG_03851	0	0	0	0
BG_03852	0	0	0	0
BG_03853	0	0	0	0
BG_03854	0	0	0	0
BG_03855	0	0	0	0
BG_03856	0	0	0	0
BG_03857	0	0	0	0
BG_03858	0	0	0	0
BG_03859	0	0	0	0
BG_03860	0	0	0	0
BG_03861	0	0	0	0
BG_03862	0	0	0	0
BG_03863	0	0	0	0
BG_03864	0	0	0	0
BG_03865	0	0	0	0
BG_03866	0	0	0	0
BG_03867	0	0	0	0
BG_03868	0	0	0	0
BG_03869	0	0	0	0
BG_03870	0	0	0	0
BG_03871	0	0	0	0
BG_03872	0	0	0	0
BG_03873	0	0	0	0
BG_03874	0	0	0	0
BG_03875	0	0	0	0
BG_03876	0	0	0	0
BG_03877	0	0	0	0
BG_03878	0	0	0	0
BG_03879	0	0	0	0
BG_03880	0	0	0	0
BG_03881	0	0	0	0
BG_03882	0	0	0	0
BG_03883	0	0	0	0
BG_03884	0	0	0	0
BG_03885	0	0	0	0
BG_03886	0	0	0	0
BG_03887	0	0	0	0
BG_03888	0	0	0	0
BG_03889	0	0	0	0
BG_03890	0	0	0	0
BG_03891	0	0	0	0
BG_03892	0	0	0	0
BG_03893	0	0	0	0
BG_03894	0	0	0	0
BG_03895	0	0	0	0
BG_03896	0	0	0	0
BG_03897	0	0	0	0
BG_03898	0	0	0	0
BG_03899	0	0	0	0
BG_03900	0	0	0	0
BG_03901	0	0	0	0
BG_03902	0	0	0	0
BG_03903	0	0	0	0
BG_03904	0	0	0	0
BG_03905	0	0	0	0
BG_03906	0	0	0	0
BG_03907	0	0	0	0
BG_03908	0	0	0	0
BG_03909	0	0	0	0
BG_03910	0	0	0	0
BG_03911	0	0	0	0
BG_03912	0	0	0	0
BG_03913	0	0	0	0
BG_03914	0	0	0	0
BG_03915	0	0	0	0
BG_03916	0	0	0	0
BG_03917	0	0	0	0
BG_03918	0	0	0	0
BG_03919	0	0	0	0
BG_03920	0	0	0	0
BG_03921	0	0	0	0
BG_03922	0	0	0	0
BG_03923	0	0	0	0
BG_03924	0	0	0	0
BG_03925	0	0	0	0
BG_03926	0	0	0	0
BG_03927	0	0	0	0
BG_03928	0	0	0	0
BG_03929	0	0	0	0
BG_03930	0	0	0	0
BG_03931	0	0	0	0
BG_03932	0	0	0	0
BG_03933	0	0	0	0
BG_03934	0	0	0	0
BG_03935	0	0	0	0
BG_03936	0	0	0	0
BG_03937	0	0	0	0
BG_03938	0	0	0	0
BG_03939	0	0	0	0
BG_03940	0	0	0	0
BG_03941	0	0	0	0
BG_03942	0	0	0	0
BG_03943	0	0	0	0
BG_03944	0	0	0	0
BG_03945	0	0	0	0
BG_03946	0	0	0	0
BG_03947	0	0	0	0
BG_03948	0	0	0	0
BG_03949	0	0	0	0
BG_03950	0	0	0	0
BG_03951	0	0	0	0
BG_03952	0	0	0	0
BG_03953	0	0	0	0
BG_03954	0	0	0	0
BG_03955	0	0	0	0
BG_03956	0	0	0	0
BG_03957	0	0	0	0
BG_03958	0	0	0	0
BG_03959	0	0	0	0
BG_03960	0	0	0	0
BG_03961	0	0	0	0
BG_03962	0	0	0	0
BG_03963	0	0	0	0
BG_03964	0	0	0	0
BG_03965	0	0	0	0
BG_03966	0	0	0	0
BG_03967	0	0	0	0
BG_03968	0	0	0	0
BG_03969	0	0	0	0
BG_03970	0	0	0	0
BG_03971	0	0	0	0
BG_03972	0	0	0	0
BG_03973	0	0	0	0
BG_03974	0	0	0	0
BG_03975	0	0	0	0
BG_03976	0	0	0	0
BG_03977	0	0	0	0
BG_03978	0	0	0	0
BG_03979	0	0	0	0
BG_03980	0	0	0	0
BG_03981	0	0	0	0
BG_03982	0	0	0	0
BG_03983	0	0	0	0
BG_03984	0	0	0	0
BG_03985	0	0	0	0
BG_03986	0	0	0	0
BG_03987	0	0	0	0
BG_03988	0	0	0	0
BG_03989	0	0	0	0
BG_03990	0	0	0	0
BG_03991	0	0	0	0
BG_03992	0	0	0	0
BG_03993	0	0	0	0
BG_03994	0	0	0	0
BG_03995	0	0	0	0
BG_03996	0	0	0	0
BG_03997	0	0	0	0
BG_03998	0	0	0	0
BG_03999	0	0	0	0
BG_04000	0	0	0	0
BG_04001	0	0	0	0
BG_04002	0	0	0	0
BG_04003	0	0	0	0
BG_04004	0	0	0	0
BG_04005	0	0	0	0
BG_04006	0	0	0	0
BG_04007	0	0	0	0
BG_04008	0	0	0	0
BG_04009	0	0	0	0
BG_04010	0	0	0	0
BG_04011	0	0	0	0
BG_04012	0	0	0	0
BG_04013	0	0	0	0
BG_04014	0	0	0	0
BG_04015	0	0	0	0
BG_04016	0	0	0	0
BG_04017	0	0	0	0
BG_04018	0	0	0	0
BG_04019	0	0	0	0
BG_04020	0	0	0	0
BG_04021	0	0	0	0
BG_04022	0	0	0	0
BG_04023	0	0	0	0
BG_04024	0	0	0	0
BG_04025	0	0	0	0
BG_04026	0	0	0	0
BG_04027	0	0	0	0
BG_04028	0	0	0	0
BG_04029	0	0	0	0
BG_04030	0	0	0	0
BG_04031	0	0	0	0
BG_04032	0	0	0	0
BG_04033	0	0	0	0
BG_04034	0	0	0	0
BG_04035	0	0	0	0
BG_04036	0	0	0	0
BG_04037	0	0	0	0
BG_04038	0	0	0	0
BG_04039	0	0	0	0
BG_04040	0	0	0	0
BG_04041	0	0	0	0
BG_04042	0	0	0	0
BG_04043	0	0	0	0
BG_04044	0	0	0	0
BG_04045	0	0	0	0
BG_04046	0	0	0	0
BG_04047	0	0	0	0
BG_04048	0	0	0	0
BG_04049	0	0	0	0
BG_04050	0	0	0	0
BG_04051	0	0	0	0
BG_04052	0	0	0	0
BG_04053	0	0	0	0
BG_04054	0	0	0	0
BG_04055	0	0	0	0
BG_04056	0	0	0	0
BG_04057	0	0	0	0
BG_04058	0	0	0	0
BG_04059	0	0	0	0
BG_04060	0	0	0	0
BG_04061	0	0	0	0
BG_04062	0	0	0	0
BG_04063	0	0	0	0
BG_04064	0	0	0	0
BG_04065	0	0	0	0
BG_04066	0	0	0	0
BG_04067	0	0	0	0
BG_04068	0	0	0	0
BG_04069	0	0	0	0
BG_04070	0	0	0	0
BG_04071	0	0	0	0
BG_04072	0	0	0	0
BG_04073	0	0	0	0
BG_04074	0	0	0	0
BG_04075	0	0	0	0
BG_04076	0	0	0	0
BG_04077	0	0	0	0
BG_04078	0	0	0	0
BG_04079	0	0	0	0
BG_04080	0	0	0	0
BG_04081	0	0	0	0
BG_04082	0	0	0	0
BG_04083	0	0	0	0
BG_04084	0	0	0	0
BG_04085	0	0	0	0
BG_04086	0	0	0	0
BG_04087	0	0	0	0
BG_04088	0	0	0	0
BG_04089	0	0	0	0
BG_04090	0	0	0	0
BG_04091	0	0	0	0
BG_04092	0	0	0	0
BG_04093	0	0	0	0
BG_04094	0	0	0	0
BG_04095	0	0	0	0
BG_04096	0	0	0	0
BG_04097	0	0	0	0
BG_04098	0	0	0	0
BG_04099	0	0	0	0
BG_04100	0	0	0	0
BG_04101	0	0	0	0
BG_04102	0	0	0	0
BG_04103	0	0	0	0
BG_04104	0	0	0	0
BG_04105	0	0	0	0
BG_04106	0	0	0	0
BG_04107	0	0	0	0
BG_04108	0	0	0	0
BG_04109	0	0	0	0
BG_04110	0	0	0	0
BG_04111	0	0	0	0
BG_04112	0	0	0	0
BG_04113	0	0	0	0
BG_04114	0	0	0	0
BG_04115	0	0	0	0
BG_04116	0	0	0	0
BG_04117	0	0	0	0
BG_04118	0	0	0	0
BG_04119	0	0	0	0
BG_04120	0	0	0	0
BG_04121	0	0	0	0
BG_04122	0	0	0	0
BG_04123	0	0	0	0
BG_04124	0	0	0	0
BG_04125	0	0	0	0
BG_04126	0	0	0	0
BG_04127	0	0	0	0
BG_04128	0	0	0	0
BG_04129	0	0	0	0
BG_04130	0	0	0	0
BG_04131	0	0	0	0
BG_04132	0	0	0	0
BG_04133	0	0	0	0
BG_04134	0	0	0	0
BG_04135	0	0	0	0
BG_04136	0	0	0	0
BG_04137	0	0	0	0
BG_04138	0	0	0	0
BG_04139	0	0	0	0
BG_04140	0	0	0	0
BG_04141	0	0	0	0
BG_04142	0	0	0	0
BG_04143	0	0	0	0
BG_04144	0	0	0	0
BG_04145	0	0	0	0
BG_04146	0	0	0	0
BG_04147	0	0	0	0
BG_04148	0	0	0	0
BG_04149	0	0	0	0
BG_04150	0	0	0	0
BG_04151	0	0	0	0
BG_04152	0	0	0	0
BG_04153	0	0	0	0
BG_04154	0	0	0	0
BG_04155	0	0	0	0
BG_04156	0	0	0	0
BG_04157	0	0	0	0
BG_04158	0	0	0	0
BG_04159	0	0	0	0
BG_04160	0	0	0	0
BG_04161	0	0	0	0
BG_04162	0	0	0	0
BG_04163	0	0	0	0
BG_04164	0	0	0	0
BG_04165	0	0	0	0
BG_04166	0	0	0	0
BG_04167	0	0	0	0
BG_04168	0	0	0	0
BG_04169	0	0	0	0
BG_04170	0	0	0	0
BG_04171	0	0	0	0
BG_04172	0	0	0	0
BG_04173	0	0	0	0
BG_04174	0	0	0	0
BG_04175	0	0	0	0
BG_04176	0	0	0	0
BG_04177	0	0	0	0
BG_04178	0	0	0	0
BG_04179	0	0	0	0
BG_04180	0	0	0	0
BG_04181	0	0	0	0
BG_04182	0	0	0	0
BG_04183	0	0	0	0
BG_04184	0	0	0	0
BG_04185	0	0	0	0
BG_04186	0	0	0	0
BG_04187	0	0	0	0
BG_04188	0	0	0	0
BG_04189	0	0	0	0
BG_04190	0	0	0	0
BG_04191	0	0	0	0
BG_04192	0	0	0	0
BG_04193	0	0	0	0
BG_04194	0	0	0	0
BG_04195	0	0	0	0
BG_04196	0	0	0	0
BG_04197	0	0	0	0
BG_04198	0	0	0	0
BG_04199	0	0	0	0
BG_04200	0	0	0	0
BG_04201	0	0	0	0
BG_04202	0	0	0	0
BG_04203	0	0	0	0
BG_04204	0	0	0	0
BG_04205	0	0	0	0
BG_04206	0	0	0	0
BG_04207	0	0	0	0
BG_04208	0	0	0	0
BG_04209	0	0	0	0
BG_04210	0	0	0	0
BG_04211	0	0	0	0
BG_04212	0	0	0	0
BG_04213	0	0	0	0
BG_04214	0	0	0	0
BG_04215	0	0	0	0
BG_04216	0	0	0	0
BG_04217	0	0	0	0
BG_04218	0	0	0	0
BG_04219	0	0	0	0
BG_04220	0	0	0	0
BG_04221	0	0	0	0
BG_04222	0	0	0	0
BG_04223	0	0	0	0
BG_04224	0	0	0	0
BG_04225	0	0	0	0
BG_04226	0	0	0	0
BG_04227	0	0	0	0
BG_04228	0	0	0	0
BG_04229	0	0	0	0
BG_04230	0	0	0	0
BG_04231	0	0	0	0
BG_04232	0	0	0	0
BG_04233	0	0	0	0
BG_04234	0	0	0	0
BG_04235	0	0	0	0
BG_04236	0	0	0	0
BG_04237	0	0	0	0
BG_04238	0	0	0	0
BG_04239	0	0	0	0
BG_04240	0	0	0	0
BG_04241	0	0	0	0
BG_04242	0	0	0	0
BG_04243	0	0	0	0
BG_04244	0	0	0	0
BG_04245	0	0	0	0
BG_04246	0	0	0	0
BG_04247	0	0	0	0
BG_04248	0	0	0	0
BG_04249	0	0	0	0
BG_04250	0	0	0	0
BG_04251	0	0	0	0
BG_04252	0	0	0	0
BG_04253	0	0	0	0
BG_04254	0	0	0	0
BG_04255	0	0	0	0
BG_04256	0	0	0	0
BG_04257	0	0	0	0
BG_04258	0	0	0	0
BG_04259	0	0	0	0
BG_04260	0	0	0	0
BG_04261	0	0	0	0
BG_04262	0	0	0	0
BG_04263	0	0	0	0
BG_04264	0	0	0	0
BG_04265	0	0	0	0
BG_04266	0	0	0	0
BG_04267	0	0	0	0
BG_04268	0	0	0	0
BG_04269	0	0	0	0
BG_04270	0	0	0	0
BG_04271	0	0	0	0
BG_04272	0	0	0	0
BG_04273	0	0	0	0
BG_04274	0	0	0	0
BG_04275	0	0	0	0
BG_04276	0	0	0	0
BG_04277	0	0	0	0
BG_04278	0	0	0	0
BG_04279	0	0	0	0
BG_04280	0	0	0	0
BG_04281	0	0	0	0
BG_04282	0	0	0	0
BG_04283	0	0	0	0
BG_04284	0	0	0	0
BG_04285	0	0	0	0
BG_04286	0	0	0	0
BG_04287	0	0	0	0
BG_04288	0	0	0	0
BG_04289	0	0	0	0
BG_04290	0	0	0	0
BG_04291	0	0	0	0
BG_04292	0	0	0	0
BG_04293	0	0	0	0
BG_04294	0	0	0	0
BG_04295	0	0	0	0
BG_04296	0	0	0	0
BG_04297	0	0	0	0
BG_04298	0	0	0	0
BG_04299	0	0	0	0
BG_04300	0	0	0	0
BG_04301	0	0	0	0
BG_04302	0	0	0	0
BG_04303	0	0	0	0
BG_04304	0	0	0	0
BG_04305	0	0	0	0
BG_04306	0	0	0	0
BG_04307	0	0	0	0
BG_04308	0	0	0	0
BG_04309	0	0	0	0
BG_04310	0	0	0	0
BG_04311	0	0	0	0
BG_04312	0	0	0	0
BG_04313	0	0	0	0
BG_04314	0	0	0	0
BG_04315	0	0	0	0
BG_04316	0	0	0	0
BG_04317	0	0	0	0
BG_04318	0	0	0	0
BG_04319	0	0	0	0
BG_04320	0	0	0	0
BG_04321	0	0	0	0
BG_04322	0	0	0	0
BG_04323	0	0	0	0
BG_04324	0	0	0	0
BG_04325	0	0	0	0
BG_04326	0	0	0	0
BG_04327	0	0	0	0
BG_04328	0	0	0	0
BG_04329	0	0	0	0
BG_04330	0	0	0	0
BG_04331	0	0	0	0
BG_04332	0	0	0	0
BG_04333	0	0	0	0
BG_04334	0	0	0	0
BG_04335	0	0	0	0
BG_04336	0	0	0	0
BG_04337	0	0	0	0
BG_04338	0	0	0	0
BG_04339	0	0	0	0
BG_04340	0	0	0	0
BG_04341	0	0	0	0
BG_04342	0	0	0	0
BG_04343	0	0	0	0
BG_04344	0	0	0	0
BG_04345	0	0	0	0
BG_04346	0	0	0	0
BG_04347	0	0	0	0
BG_04348	0	0	0	0
BG_04349	0	0	0	0
BG_04350	0	0	0	0
BG_04351	0	0	0	0
BG_04352	0	0	0	0
BG_04353	0	0	0	0
BG_04354	0	0	0	0
BG_04355	0	0	0	0
BG_04356	0	0	0	0
BG_04357	0	0	0	0
BG_04358	0	0	0	0
BG_04359	0	0	0	0
BG_04360	0	0	0	0
BG_04361	0	0	0	0
BG_04362	0	0	0	0
BG_04363	0	0	0	0
BG_04364	0	0	0	0
BG_04365	0	0	0	0
BG_04366	0	0	0	0
BG_04367	0	0	0	0
BG_04368	0	0	0	0
BG_04369	0	0	0	0
BG_04370	0	0	0	0
BG_04371	0	0	0	0
BG_04372	0	0	0	0
BG_04373	0	0	0	0
BG_04374	0	0	0	0
BG_04375	0	0	0	0
BG_04376	0	0	0	0
BG_04377	0	0	0	0
BG_04378	0	0	0	0
BG_04379	0	0	0	0
BG_04380	0	0	0	0
BG_04381	0	0	0	0
BG_04382	0	0	0	0
BG_04383	0	0	0	0
BG_04384	0	0	0	0
BG_04385	0	0	0	0
BG_04386	0	0	0	0
BG_04387	0	0	0	0
BG_04388	0	0	0	0
