Title,Type,Netflix,HBO_Max,Disney_Plus,Amazon_Prime_Video,Apple_TV_Plus,Paramount_Plus,Hulu,Peacock
The Map of Tiny Perfect Things,Movie,0,0,0,1,0,0,0,0
The Martian,Movie,0,0,1,0,0,0,1,0
The Marvelous Mrs. Maisel,Series,0,0,0,1,0,0,0,0
The Marvels,Movie,0,0,1,0,0,0,0,0
The Matrix,Movie,0,1,0,1,0,0,0,0
The Menu,Movie,0,0,1,0,0,0,1,0
The Mighty Ducks: Game Changers,Series,0,0,1,0,0,0,0,0
The Morning Show,Series,0,0,0,0,1,0,0,0
The Mosquito Coast,Series,0,0,0,0,1,0,0,0
The Naked Gun,Movie,0,0,0,0,0,1,0,0
The Night Agent,Series,1,0,0,0,0,0,0,0
The OA,Series,1,0,0,0,0,0,0,0
The Offer,Series,0,0,0,0,0,1,0,0
The Office,Series,0,0,0,0,0,0,0,1
The Office (US),Series,1,0,0,1,0,0,0,1
The Old Man,Series,0,0,0,0,0,0,1,0
The Other Black Girl,Series,0,0,0,0,0,0,1,0
The Outsider,Series,0,1,0,0,0,0,0,0
The Path,Series,0,0,0,0,0,0,1,0
The Patient,Series,0,0,0,0,0,0,1,0
The Penguin,Series,0,1,0,0,0,0,0,0
The Peripheral,Series,0,0,0,1,0,0,0,0
The Power,Series,0,0,0,1,0,0,0,0
The Power of the Dog,Movie,1,0,0,0,0,0,0,0
The Princess Bride,Movie,0,0,1,1,0,0,1,0
The Princess Diaries,Movie,1,0,1,1,0,0,1,0
The Queen's Gambit,Series,1,0,0,0,0,0,0,0
The Rehearsal,Series,0,1,0,0,0,0,0,0
The Resort,Series,0,0,0,0,0,0,0,1
The Revenant,Movie,0,0,1,0,0,0,1,0
The Rings of Power,Series,0,0,0,1,0,0,0,0
The Sandman,Series,1,0,0,0,0,0,0,0
The Secret Lives of Mormon Wives,Series,0,0,0,0,0,0,1,0
The Sex Lives of College Girls,Series,0,1,0,0,0,0,0,0
The Shawshank Redemption,Movie,0,1,0,1,0,0,0,0
The Simpsons,Series,0,0,1,0,0,0,1,0
The Social Network,Movie,1,0,0,1,0,0,1,0
The Sopranos,Series,0,1,0,0,0,0,0,0
The Substance,Movie,0,1,0,0,0,0,0,0
The Super Mario Bros. Movie,Movie,1,0,0,0,0,0,0,1
The Terminal List,Series,0,0,0,1,0,0,0,0
The Terminator,Movie,1,1,0,1,0,0,1,1
The Tomorrow War,Movie,0,0,0,1,0,0,0,0
The Traitors,Series,0,0,0,0,0,0,0,1
The Truman Show,Movie,0,0,0,1,0,1,0,0
The Umbrella Academy,Series,1,0,0,0,0,0,0,0
The Walking Dead,Series,1,0,0,1,0,0,0,0
The Watcher,Series,1,0,0,0,0,0,0,0
The Wheel of Time,Series,0,0,0,1,0,0,0,0
The White Lotus,Series,0,1,0,0,0,0,0,0
The Wild Robot,Movie,0,0,0,1,0,0,0,1
The Wilds,Series,0,0,0,1,0,0,0,0
The Wire,Series,0,1,0,0,0,0,0,0
The Witcher,Series,1,0,0,0,0,0,0,0
The Wizard of Oz,Movie,1,1,0,1,0,0,1,0
The Wolf of Wall Street,Movie,1,0,0,1,0,1,0,0
The X-Files,Series,0,0,1,1,0,0,1,0
The Zone of Interest,Movie,0,1,0,1,0,0,0,0
This Is Us,Series,0,0,0,0,0,0,1,1
Titanic,Movie,0,0,0,1,0,1,0,0
Titanic (1997),Movie,1,1,0,1,0,1,1,0
Tokyo Vice,Series,0,1,0,0,0,0,0,0
Top Gun: Maverick,Movie,0,0,0,0,0,1,0,0
Transformers: Rise of the Beasts,Movie,0,0,0,0,0,1,0,0
Trap,Movie,0,1,0,0,0,0,0,0
True Detective,Series,0,1,0,0,0,0,0,0
Trying,Series,0,0,0,0,1,0,0,0
Tulsa King,Series,0,0,0,0,0,1,0,0
Turning Red,Movie,0,0,1,0,0,0,0,0
Twin Peaks,Series,0,0,0,1,0,1,0,0
Twisted Metal,Series,0,0,0,0,0,0,0,1
Twisters,Movie,0,1,0,0,0,0,0,0
Under the Banner of Heaven,Series,0,0,0,0,0,0,1,0
Under the Bridge,Series,0,0,0,0,0,0,1,0
Undone,Series,0,0,0,1,0,0,0,0
Up,Movie,0,0,1,0,0,0,0,0
Upload,Series,0,0,0,1,0,0,0,0
Us,Movie,1,0,0,1,0,0,0,1
Vampire Academy,Series,0,0,0,0,0,0,0,1
Veep,Series,0,1,0,0,0,0,0,0
Venom: The Last Dance,Movie,1,0,0,1,0,0,0,0
Vikings: Valhalla,Series,1,0,0,0,0,0,0,0
Virgin River,Series,1,0,0,0,0,0,0,0
WALL-E,Movie,0,0,1,0,0,0,0,0
WandaVision,Series,0,0,1,0,0,0,0,0
Watchmen,Series,0,1,0,0,0,0,0,0
Wednesday,Series,1,0,0,0,0,0,0,0
Welcome to Derry,Series,0,1,0,0,0,0,0,0
Westworld,Series,0,1,0,0,0,0,0,0
What We Do in the Shadows,Series,0,0,1,0,0,0,1,0
Whiplash,Movie,1,0,0,1,0,0,1,0
Wicked,Movie,0,0,0,0,0,0,0,1
Wicked: For Good,Movie,0,0,0,0,0,0,0,1
Willow,Series,0,0,1,0,0,0,0,0
Winning Time,Series,0,1,0,0,0,0,0,0
Wish,Movie,0,0,1,0,0,0,0,0
Without Remorse,Movie,0,0,0,1,0,0,0,0
Woke,Series,0,0,0,0,0,0,1,0
Wolfs,Movie,0,0,0,0,1,0,0,0
Wonder Woman,Movie,0,1,0,1,0,0,0,0
Wonka,Movie,0,1,0,0,0,0,0,0
Yellowjackets,Series,0,0,0,0,0,1,1,0
Yellowstone,Series,0,0,0,0,0,1,0,1
You,Series,1,0,0,0,0,0,0,0
Zootopia 2,Movie,0,0,1,0,0,0,0,0
iCarly,Series,0,0,0,0,0,1,0,0
